"","Watershed","Site","SampleDate","Organization","VisitID","Category","StreamName","VisitYear","LON_DD","LAT_DD","ValleyClass","Channel_Type","CUMDRAINAG","DistPrin1","NatPrin1","NatPrin2","MeanU","SlowWater_Area","SlowWater_Ct","SlowWater_Vol","SlowWater_Pct","FstTurb_Area","FstTurb_Ct","FstTurb_Vol","FstTurb_Pct","FstNT_Ct","FstNT_Vol","FstNT_Pct","Grad","Sin","Lgth_Wet","Area_Wet","WetVol","WetWdth_Int","WetBraid","DpthWet_SD","WetWdth_CV","WetWdth_Avg","WetSCWdth","SlowWater_Freq","FstTurb_Freq","FstNT_Freq","DpthThlwg_Avg","PoolResidDpth","WetSCL_Area","SCSm_Area","WetSC_Pct","SCSm_Freq","SCSm_Vol","Q","SubD16","SubD50","SubD84","Cond","FishCovLW","FishCovTVeg","FishCovArt","FishCovNone","FishCovAqVeg","FishCovTotal","SC_Area","SC_Area_Pct","ChnlUnitTotal_Ct","CU_Ct","CU_Freq","SubEstBldr","SubEstCbl","SubEstSandFines","SubEstGrvl","LWVol_Wet","LWVol_WetFstNT","LWVol_WetFstTurb","LWVol_WetSlow","UcutArea","UcutLgth","LWcnt_Wet","LWFreq_Wet","UcutLgth_Pct","UcutArea_Pct"
"489","Minam","MNM00001-000120","2015-08-14","Oregon Department of Fish and Wildlife",2897,"Reference - mainstem Minam","Minam River",2015,-117.49377,45.20639,NA,NA,NA,NA,NA,NA,NA,1514.5977,4,538.2232,36.0809,1310.39,4,184.7283,31.2163,2,294.4324,32.7028,0.471,1.276,311.607,4197.7786,1017.384,13.4714,1,0.2102,0.1885,13.3125,NA,1.2837,1.2837,0.6418,0.4205,0.4532,0,0,0,0,0,0.5486,7,53,104,47.7,5.3101,3.1117,0,91.5781,0,8.4219,0,0,10,10,3.20917052569422,2.1221,21.2108,25.8812,50.7859,25.7729978115199,1.44638925771274,5.02544868831491,19.3011598654923,6.96,10.5,21,6.73925810395787,0.0336962905197893,0.00165801979170602
"490","Minam","MNM00001-000393","2015-08-04","Oregon Department of Fish and Wildlife",2898,"Non Reference Spawning and Rearing","Minam River",2015,-117.68065,45.41869,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,12199.2815,4,3795.6302,81.2747,4,1058.8003,18.7253,0.955,1.054,639.8841,15008.7929,4854.4309,23.4555,1,0.1462,0.1211,23.4452,NA,0,0.6251,0.6251,0.4838,NA,0,0,0,0,0,2.1811,9,82,319,51.5,0,0,0,100,0,0,0,0,8,8,1.25022640818861,15.1605,34.4767,21.8715,28.4913,1.00530964914873,0.282743338823081,0.722566310325653,NA,NA,NA,3,0.468834903070728,NA,NA
"491","Minam","MNM00001-000269","2015-08-27","Oregon Department of Fish and Wildlife",2899,"Non Reference Spawning and Rearing","Minam River",2015,-117.63267,45.35582,NA,NA,NA,NA,NA,NA,NA,2661.0294,5,1193.5477,28.2758,6057.7794,4,1272.6728,64.3692,2,78.5795,4.9653,0.7482,1.1475,470.8047,9410.9923,2551.5089,19.9892,1,0.2455,0.2976,19.9289,NA,1.062,0.8496,0.4248,0.5069,0.7325,0,224.8977,2.3897,0.6372,6.7089,0.9301,3,52,93,55.2,5.6416,3.8533,0,91.7577,0,9.4948,680,7.2256,11,11,2.33642527357947,9.901,26.4048,22.5036,41.1906,10.3263365125333,0.324212361850467,1.73345228643451,5.15064115556047,NA,NA,15,3.186034463972,NA,NA
"492","CHaMP Training","MOCK2012-000069",NA,"Terraqua Inc.",2900,"Spring Creek","Spring Creek",2015,-118.3016,45.34565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","Upper Grande Ronde","dsgn4-000205","2015-07-14","Oregon Department of Fish and Wildlife",2901,"Grande Ronde Steelhead-Depositional-Public","Grande Ronde River",2015,-118.27569,45.31501,"Depositional","Island_braided",1284.22095,0.44,0.39,-0.29,NA,1254.1313,2,430.2308,9.6008,4337.7421,4,744.4872,33.2067,3,1843.7391,57.1925,0.3558,1.0829,621.5963,13062.8325,3018.4572,21.015,1,0.1382,0.1684,20.8828,NA,0.3218,0.6435,0.4826,0.3564,0.4659,0,0,0,0,0,1.347,19,48,99,79.8,0,0,0,88.2726,12.1996,12.1996,0,0,9,9,1.44788506623994,2.891,36.2298,11.5275,48.4284,0.350672425975327,0.350672425975327,NA,NA,1.05,3,1,0.160876118471104,0.00482628355413312,8.03807290646956e-05
"494","Upper Grande Ronde","CBW05583-013882","2015-06-22","Oregon Department of Fish and Wildlife",2902,"Grande Ronde Steelhead-Source-Private","Peet Creek",2015,-118.61515,45.26102,"Source","Plane-bed",9.207,-0.8,-0.47,0.18,2.33,111.3199,11,10.6337,54.9684,38.0995,5,1.3921,18.8131,5,2.9024,26.2185,1.7954,1.4357,116.7936,202.5503,14.9283,1.7343,1,0.0607,0.3058,1.7157,NA,9.4183,4.2811,4.2811,0.1043,0.1239,0,0,0,0,0,0.0013,5,19,49,58.3,10.071,5.2916,0,86.2436,5.9597,21.3223,0,0,21,21,17.9804372842347,2.2955,22.8161,22.7498,52.1386,20.0914471324569,0.566252440855475,0.742397613951438,18.78279707765,3.035,8.25,16,13.6993807879884,0.0706374321880651,0.0149839323861777
"495","Upper Grande Ronde","dsgn4-000001","2015-07-20","Oregon Department of Fish and Wildlife",2903,"Catherine Creek Chinook","North Fork Catherine Creek",2015,-117.64319,45.12205,"Depositional","Island_braided",88.157,-1.01,-2.09,0.45,NA,188.0493,2,34.623,8.4326,2001.4484,2,315.1515,89.7499,0,0,0,2.4255,1.0596,260.3513,2229.588,353.1329,8.5638,1,0.0918,0.164,8.4495,NA,0.7682,0.7682,0,0.277,0.1341,0,40.5315,1.8175,0.3841,3.3601,0.4765,25,54,106,56.2,9.7645,4.6093,0,85.7814,0,14.3738,210,9.4169,4,4,1.536385645088,8.8719,29.4491,9.7283,44.3614,6.37990709100198,NA,4.78825844296888,0.99117248220758,20.87,14.5,19,7.29783181416801,0.0556939796344401,0.00936047377362993
"496","Tucannon","CBW05583-018303","2015-06-18","Eco Logical Research",2997,"Treatment Reach 4-Treatment","Tucannon River",2015,-117.651441,46.296348,NA,NA,NA,NA,NA,NA,NA,365.7706,3,165.2555,10.859,1217.304,5,288.393,36.1393,6,446.9863,48.0475,1.116,1.0938,326.9212,3368.7222,912.4238,10.3044,1.2133,0.1762,0.2164,9.8441,1.8237,0.9177,1.5294,1.8353,0.4522,0.8025,0,166.8773,4.9542,0.3059,11.7854,1.6773,26,79,144,55.1,1.0428,1.753,0,97.2042,0,2.7958,87,2.5829,14,14,4.28237752706157,2.9317,46.3771,2.1769,48.5143,18.4184508696499,5.38684965320225,0.628318530717959,5.08019094030371,3.852,3.4,25,7.64710272689566,0.0104000597085781,0.00114346027107845
"497","Tucannon","CBW05583-010495","2015-07-31","Eco Logical Research",2998,"Treatment Reach 7-Treatment","Tucannon River",2015,-117.67134,46.32721,"Depositional","Island_braided",254.72301,-0.27,-1.43,-0.61,105.49,766.6411,5,366.2739,32.1132,950.747,4,257.1527,39.825,4,184.5826,27.0078,1.1286,1.253,247.5719,2401.7481,812.1515,9.7012,1.1188,0.2131,0.2357,9.3905,2.9687,2.0196,1.6157,1.6157,0.5491,0.682,0,25.1616,1.054,0.4039,4.5511,1.3495,19,57,112,45,10.2409,3.4775,0,86.2816,0,13.7184,47.5,1.9897,13,13,5.25099981056008,0.9969,52.9518,6.0401,40.0113,133.989358644595,80.2480573451343,14.4679766475771,35.5603548344218,14.495,17,89,35.949152549219,0.0686669205996319,0.00603518745367177
"498","Tucannon","CBW05583-051659","2015-08-12","Eco Logical Research",2999,"Treatment Reach 2-Control","Tucannon River",2015,-117.856808,46.459663,NA,NA,NA,NA,NA,NA,NA,1053.0828,6,358.2919,23.6013,1144.5948,4,213.9306,25.6523,4,360.4562,42.0925,0.6566,1.1295,328.0224,4461.9605,974.117,13.6026,1.5102,0.1665,0.2504,11.1133,5.5498,1.8291,1.2194,1.2194,0.4122,0.4147,426.0374,386.1304,18.202,0.6097,41.4384,1.2292,23,44,80,79,0.8721,4.693,0,94.4349,0,5.5651,344.75,7.7264,14,14,4.26800120967349,1.1203,40.2347,2.075,56.5699,6.0518070082427,1.67576479133297,1.58383393630729,2.79220828060244,NA,NA,32,9.75543133639654,NA,NA
"499","Tucannon","CBW05583-100223","2015-08-01","Eco Logical Research",3000,"Treatment Reach 4-Control","Tucannon River",2015,-117.660897,46.31195,NA,NA,NA,NA,NA,NA,NA,785.4829,3,215.0804,17.877,2943.6026,5,501.2063,66.9941,2,180.741,15.1289,1.1818,1.3327,307.0867,4205.3845,897.028,13.6945,1,0.1567,0.1583,13.5578,NA,0.9769,1.6282,0.6513,0.3844,0.6581,0,0,0,0,0,1.2073,28,66,177,77.3,1.2697,2.2349,0,96.4954,0,3.5046,0,0,10,10,3.25640934628559,6.6763,34.3366,3.8492,54.8078,5.3956461126323,NA,1.355597230024,4.0400488826083,4.49,7,14,4.55897308479983,0.0227948654239991,0.00106767882936745
"500","Tucannon","CBW05583-141771","2015-08-12","Eco Logical Research",3001,"Treatment Reach 2-Treatment","Tucannon River",2015,-117.79233,46.44831,"Depositional","Island_braided",439.64301,0.74,1.45,-0.98,141.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6081,1.0465,334.2156,4966.6386,1169.243,14.8606,1.2566,0.1423,0.3659,12.1933,11.542,NA,NA,NA,0.5193,NA,NA,NA,NA,NA,NA,1.1634,14,33,68,99.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3016181866706,16.2437964525379,3.49619992436374,9.56162180976894,63.49,32,114,34.1097183973459,0.0957465779574622,0.0127832937149886
"501","Tucannon","CBW05583-170443","2015-06-21","Eco Logical Research",3002,"Treatment Reach 6-Treatment","Tucannon River",2015,-117.73622,46.43494,"Depositional","Straight",411.371,0.74,1.45,-0.98,139.10001,909.2572,5,400.0252,21.325,1528.301,5,343.0331,35.8436,3,95.2869,9.2366,1.1014,1.2405,256.8249,4263.7994,1055.8483,16.602,1.6428,0.1877,0.1979,10.9149,5.4455,1.9469,1.9469,1.1681,0.5387,0.5801,0,1432.4127,33.5948,1.5575,217.503,1.8841,30,55,83,70,3.2972,4.1359,0,92.1071,0.4597,7.8929,489,11.4686,13,13,5.06181448917142,3.0995,36.9366,12.1444,47.8195,14.0111340978737,1.31015409228982,5.79399220712585,2.7203050787434,4.136,6.8,45,17.5216655394395,0.0264771834818197,0.000970026873215471
"502","Tucannon","CBW05583-182527","2015-08-14","Eco Logical Research",3003,"Tributary","Cummings Creek",2015,-117.65621,46.33203,"Source","Step-pool",51.338,0.02,-1.64,-0.66,16.55,187.1157,9,24.5049,39.0652,207.1192,9,21.7442,43.2414,3,7.5605,17.6934,3.2501,1.4341,123.1869,475.0685,53.7943,3.8565,1,0.0855,0.3104,3.8512,NA,7.306,7.306,2.4353,0.208,0.1634,0,0,0,0,0,0.0717,11,35,88,62.3,23.144,2.3257,0,74.1485,0.3818,25.8515,0,0,21,21,17.0472672013014,9.8595,27.4774,11.2083,51.4548,7.32670457697761,0.9542587685279,4.96477668019246,1.40766912825725,0.36,1,23,18.6708164585682,0.00811774628633402,0.000757785456202632
"503","Tucannon","CBW05583-203211","2015-08-14","Eco Logical Research",3004,"Treatment Reach 2-Treatment","Tucannon River",2015,-117.77722,46.44401,"Depositional","Island_braided",431.229,0.74,1.45,-0.98,140.89,1275.6832,7,466.8537,33.6096,1903.9711,5,398.1472,50.1626,1,120.0073,12.0557,0.8298,1.0876,341.211,3790.5761,997.2858,11.1092,1.2472,0.191,0.2285,10.4352,2.2188,2.0515,1.4654,0.2931,0.4878,0.4503,0,158.3569,4.1721,0.2931,12.2599,1.5198,25,46,78,72.2,0.3627,2.1271,0,97.5103,0,2.4897,160,4.2154,13,13,3.8099592334362,0.3778,26.8108,18.116,54.6954,33.5789759097476,0.75647194903952,2.15700966197312,29.8815255599949,14.42,27.5,43,12.6021728490582,0.080595291476535,0.0038041710862895
"504","Tucannon","CBW05583-214475","2015-06-22","Eco Logical Research",3005,"Mainstem","Tucannon River",2015,-117.72641,46.42299,"Depositional","Island_braided",404.681,0.74,1.45,-0.98,138.49001,819.8071,3,189.98,20.7448,1458.299,4,267.9252,36.9015,4,388.2892,42.3537,0.7866,1.1223,317.0205,3950.7149,846.1796,12.462,1,0.1363,0.2054,12.4564,NA,0.9463,1.2617,1.2617,0.373,0.4689,0,0,0,0,0,1.8542,26,51,108,NA,2.5102,10.5418,0,86.948,0,13.052,0,0,11,11,3.46980715758129,1.4123,27.1902,16.8517,54.5459,3.35348522409279,1.98581642429738,0.479257813286757,0.888410986508658,0.966,2.3,21,6.62417730083701,0.00725505132948815,0.000244512708320208
"505","Tucannon","CBW05583-196787","2015-08-16","Eco Logical Research",3006,"Mainstem","Tucannon River",2015,-117.89084,46.46348,"Depositional","Island_braided",468.35101,0.74,1.45,-0.98,144,1289.8165,8,418.0393,28.6723,1374.3014,4,366.8393,30.5504,4,411.6722,32.6003,0.5972,1.111,401.2178,4495.2185,1237.9036,11.2039,1.1926,0.1905,0.2833,10.2914,3.3641,1.9939,0.997,0.997,0.5105,0.2587,0,367.8387,8.177,0.4985,41.353,1.2822,26,43,80,81,1.1861,8.5297,0,90.2842,0,9.7158,0,0,16,16,3.98785896338597,6.7794,30.8788,13.975,48.2211,4.0117981106709,NA,NA,2.79886845702805,NA,NA,9,2.24317066690461,NA,NA
"506","Tucannon","CBW05583-214911","2015-07-29","Eco Logical Research",3007,"Treatment Reach 8-Control","Tucannon River",2015,-117.701495,46.23583,NA,NA,NA,NA,NA,NA,NA,76.7767,2,25.9303,1.9973,2408.6851,3,437.359,62.6604,2,260.1182,28.731,1.3424,1.0915,359.2963,3828.6097,734.9394,10.6559,1.2531,0.1141,0.2764,9.9705,3.1926,0.5566,0.835,0.5566,0.3313,0.0951,0,254.1367,6.6112,0.2783,10.9975,1.1774,27,69,136,71.5,3.2974,9.4427,0.0269,87.2331,0,12.7669,216,5.6191,7,7,1.94825273736468,18.084,39.0772,11.3978,31.441,12.259175474515,5.52330630090725,5.06012401722891,NA,3.59,7.5,14,3.89650547472935,0.0208741364717644,0.000937677193891036
"507","Tucannon","CBW05583-248063","2015-08-26","Eco Logical Research",3008,"Treatment Reach 3-Treatment","Tucannon River",2015,-117.6815,46.34626,"Depositional","Island_braided",309.772,0.96,0.82,-0.7,122.5,1319.2548,11,585.2126,31.5869,2055.9862,5,434.7411,49.2264,4,203.076,18.8555,1.2776,1.2127,294.8355,4161.3989,1223.777,14.1143,1.5538,0.2428,0.2856,9.7206,7.8124,3.7309,1.6959,1.3567,0.4549,0.2132,1117.3397,13.8326,27.0836,0.3392,0.7475,1.5433,18,58,120,100.5,16.2413,1.3498,0.1061,81.7033,0.7057,18.4028,21.24,0.5085,20,20,6.78344364908568,0,3.7282,20.6415,75.6303,93.7675950245742,23.8537910054603,16.0588791673549,50.9405635948033,1.38,3,119,40.3614897120598,0.0101751654736285,0.000331619254284899
"508","Tucannon","CBW05583-276351","2015-07-31","Eco Logical Research",3009,"Treatment Reach 7-Control","Tucannon River",2015,-117.67843,46.33487,"Depositional","Island_braided",307.09299,0.96,0.82,-0.7,122.17,295.6945,2,97.8475,10.9954,1579.0687,3,244.3146,58.7179,2,173.4147,25.565,0.9584,1.4655,274.1031,2657.5394,518.2922,9.6954,1.1848,0.1621,0.2066,9.0771,3.1043,0.7297,1.0945,0.7297,0.409,0.7385,0,126.9762,4.7216,0.7297,2.7154,1.4427,20,39,82,75.1,2.1893,1.4868,0,96.3239,0,3.6761,44.075,1.6389,7,7,2.55378359456715,0,21.4233,25.7048,52.8719,29.7369494660767,3.42823942128496,24.0417996178144,1.09660433166205,0.504,2.1,36,13.1337442006311,0.00766135078370146,0.000189649116773208
"509","Tucannon","CBW05583-329599","2015-08-14","Eco Logical Research",3010,"Tributary","Cummings Creek",2015,-117.64092,46.30623,"Source","Plane-bed",39.423,0.02,-1.64,-0.66,14.85,113.7628,7,7.763,23.9116,316.0541,5,23.6948,66.4307,1,3.9896,9.6577,3.2401,1.1104,124.712,474.9314,35.4473,3.8082,1,0.0633,0.2009,3.7496,NA,5.6129,4.0092,0.8018,0.1575,0.0943,0,0,0,0,0,0.1194,4,46,115,102.6,16.5463,8.4136,0,72.3107,2.7293,27.6893,0,0,13,13,10.4240169350183,4.5585,34.1517,31.0593,30.2305,17.8863773860692,0.924020939237098,10.2170931257919,6.74526332104019,0.429,1.3,38,30.470203348515,0.0104240169350183,0.000903288348590976
"510","Tucannon","CBW05583-339839","2015-06-19","Eco Logical Research",3011,"Treatment Reach 2-Control","Tucannon River",2015,-117.73945,46.41161,"Depositional","Island_braided",404.681,0.74,1.45,-0.98,138.49001,495.5437,2,182.1119,17.0096,2215.5814,2,515.2836,76.0501,1,43.4249,6.9403,0.8422,1.0527,277.2587,2911.2761,740.8203,10.5002,1,0.1312,0.1566,10.4868,NA,0.7213,0.7213,0.3607,0.37,0.3177,0,0,0,0,0,1.7551,21,49,108,76,2.3975,9.078,0,88.5245,0,11.4755,0,0,5,5,1.80336992130454,2.3695,30.1844,19.5619,47.8842,7.65920288945192,NA,7.65920288945192,NA,NA,NA,7,2.52471788982636,NA,NA
"511","Tucannon","CBW05583-345983","2015-08-12","Eco Logical Research",3012,"Mainstem","Tucannon River",2015,-117.67839,46.24793,"Depositional","Confined",219.923,-0.27,-1.43,-0.61,97.62,91.777,1,31.4911,3.096,1944.4951,3,475.9976,65.5946,3,237.0847,31.3095,1.2877,1.0419,278.9955,2967.1369,744.7186,10.6351,1,0.1238,0.0985,10.6412,NA,0.3584,1.0753,1.0753,0.3752,0.2343,0,0,0,0,0,1.2936,13,50,126,42.5,2.2751,3.7659,0,93.959,0,6.041,0,0,7,7,2.50900104123543,6.0943,33.6477,5.7057,54.5522,56.1244506546204,11.1211358919466,45.0033147626738,NA,3.65,4.6,59,21.1472944904129,0.0164877211281186,0.00123014209421884
"512","Tucannon","CBW05583-386091","2015-08-28","Eco Logical Research",3013,"Treatment Reach 1-Treatment","Tucannon River",2015,-118.134946,46.521813,NA,NA,NA,NA,NA,NA,NA,735.0945,3,339.428,20.3796,1211.0848,3,253.6685,33.5759,3,381.9851,46.0444,0.467,1.0781,332.6043,3598.5945,975.244,10.8194,1,0.1929,0.1951,10.8098,NA,0.902,0.902,0.902,0.4598,0.7042,0,0,0,0,0,1.5416,14,33,67,138.6,2.6652,6.0518,0,91.9006,0,8.717,0,0,9,9,2.70591811350605,0,11.6177,11.1292,74.8013,11.1295475062766,NA,8.07519688067701,3.0543506255996,27.772,16.2,12,3.60789081800807,0.0487065260431089,0.00771745746846442
"513","Tucannon","CBW05583-432587","2015-08-16","Eco Logical Research",3014,"Treatment Reach 6-Control","Tucannon River",2015,-117.74673,46.43881,"Depositional","Island_braided",421.41299,0.74,1.45,-0.98,139.89999,500.7557,5,198.6985,13.9124,2082.3528,4,498.0905,57.8534,3,239.1963,28.2342,0.9336,1.0737,309.6542,3597.2342,935.9852,11.6169,1,0.138,0.1356,11.5627,NA,1.6147,1.2918,0.9688,0.4162,0.3054,0,0,0,0,0,1.4919,11,47,89,98.9,3.9811,4.2907,0,91.7282,0,8.2718,0,0,12,12,3.87529056605723,0.8235,47.9742,18.3532,32.8491,5.45824234625508,0.92576452315984,3.85738097776533,0.675096845329911,7.817,10.7,21,6.78175849060016,0.0345546742140103,0.00217305840136847
"514","Tucannon","CBW05583-473983","2015-08-13","Eco Logical Research",3015,"Tributary","Panjab Creek",2015,-117.71844,46.18163,"Depositional","Straight",57.919,-1.29,-2.22,-0.27,31.6,82.1526,3,10.8003,9.1969,393.2989,8,34.7257,44.0296,6,42.5216,46.7734,3.0092,1.0552,164.3751,893.2597,88.0477,5.4343,1.1699,0.0819,0.2546,5.0929,2.4638,1.8251,4.8669,3.6502,0.1916,0.1995,56.6955,0,6.347,0,0,0.0958,13,38,73,54,4.1892,3.5873,0,92.2235,0,7.7765,0,0,17,17,10.3421990313618,18.9543,28.3288,18.8094,33.6611,9.19888095561484,2.19467735788966,6.52071248833771,0.483491109387469,0.585,1.5,23,13.9923869247836,0.00912546973355453,0.00065490472703515
"515","Tucannon","CBW05583-481459","2015-08-26","Eco Logical Research",3016,"Treatment Reach 1-Control","Tucannon River",2015,-118.05307,46.504573,NA,NA,NA,NA,NA,NA,NA,2626.2769,16,1111.13,48.635,1879.1368,8,339.1535,34.799,2,78.0728,7.3955,0.5769,1.5056,367.2945,5385.2442,1599.295,14.6619,1.3682,0.2444,0.2616,12.2657,4.5064,4.3562,2.1781,0.5445,0.5534,0.6632,394.0033,495.1983,16.4668,1.089,70.9388,1.1449,15,30,51,97.2,6.4869,4.8724,0.0839,78.4338,10.5882,22.0315,364.5,6.75,26,26,7.07878827480401,0,17.8363,19.8205,62.3433,44.9503600769049,0.759872723087031,5.52305890048578,27.9712872155631,11.558,26.9,95,25.8648033117839,0.0732382325354722,0.00214623507695343
"516","Tucannon","CBW05583-519039","2015-07-29","Eco Logical Research",3017,"Treatment Reach 8-Treatment","Tucannon River",2015,-117.71327,46.23097,"Depositional","Island_braided",195.11301,-0.27,-1.43,-0.61,88.14,489.8024,3,186.2195,13.2206,1747.6994,5,317.4219,47.1735,3,191.0509,19.1429,1.2069,1.1623,274.2914,3704.8318,815.2499,13.5069,1.3262,0.1611,0.2892,11.169,6.7984,1.0937,1.8229,1.0937,0.4629,0.3974,0,758.116,20.4629,1.0937,120.5575,1.0774,48,98,179,67,6.3247,5.2676,0,88.4077,0,11.5923,0,0,11,11,4.01033353579441,9.8544,51.7466,0.2932,38.1057,31.0166379636083,8.45410437062647,11.8936770874093,7.8072897131605,NA,NA,50,18.2287887990655,NA,NA
"517","Tucannon","CBW05583-522111","2015-07-31","Eco Logical Research",3018,"Treatment Reach 3-Control","Tucannon River",2015,-117.68478,46.35269,"Depositional","Straight",315.43301,0.96,0.82,-0.7,123.33,278.0337,3,127.8771,7.2657,3071.2208,3,760.0851,80.2587,2,133.096,12.4756,1.0041,1.1557,317.5582,3841.0451,1021.0752,12.0956,1,0.1293,0.145,12.0182,NA,0.9447,0.9447,0.6298,0.4235,0.3463,0,0,0,0,0,1.7823,24,61,137,79.8,5.2154,0.8019,0,93.9827,0,6.0173,0,0,8,8,2.51922324789598,17.3923,60.1509,0.0964,22.3605,13.4341177751888,0.106028752058656,12.1832926601621,1.14479636296812,24.18,14.5,16,5.03844649579195,0.0456609213681146,0.00629516169961139
"518","Tucannon","CBW05583-007039","2015-07-29","Eco Logical Research",3019,"Treatment Reach 8-Treatment","Tucannon River",2015,-117.722583,46.227818,NA,NA,NA,NA,NA,NA,NA,688.9432,4,235.9473,26.2229,1738.9707,5,435.8017,66.1895,1,52.0646,6.8072,1.4224,1.1248,291.2285,2626.4171,725.9843,9.0184,1,0.1476,0.2314,8.8639,NA,1.3735,1.7169,0.3434,0.4345,0.375,0,20.5028,0.7804,0.3434,2.1707,1.2141,27,67,127,62,1.7455,1.7495,0,96.5051,0,3.4949,70,2.6644,10,10,3.43372987190471,4.5775,45.7918,2.5015,46.2454,11.7727532591818,0.179196444960762,4.44961438986599,6.75909732429027,9.187,9,17,5.837340782238,0.0309035688471424,0.00349792117938921
"519","CHaMP Training","MOCK2012-000006","2015-06-07","Terraqua Inc.",3021,"Spring Creek","Spring Creek",2015,-118.30546,45.34635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520","CHaMP Training","MOCK2012-000031","2015-06-07","Terraqua Inc.",3022,"Dry Creek","Dry Creek",2015,-118.30355,45.37747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","CHaMP Training","MOCK2012-000067","2015-06-07","Terraqua Inc.",3023,"Dry Creek","Dry Creek",2015,-118.28829,45.3733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","CHaMP Training","MOCK2012-000085",NA,"Terraqua Inc.",3024,"Spring Creek","Spring Creek",2015,-118.31031,45.35277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","CHaMP Training","MOCK2012-000099",NA,"Terraqua Inc.",3025,"Dry Creek","Dry Creek",2015,-118.2861,45.37233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","CHaMP Training","MOCK2012-000126",NA,"Terraqua Inc.",3026,"Spring Creek","Spring Creek",2015,-118.29233,45.34137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","CHaMP Training","MOCK2012-000050",NA,"Terraqua Inc.",3037,"Spring Creek","Spring Creek",2015,-118.27294,45.32974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
